degree,coefficients,input_sequence,target_sequence
1,"8,7,0,0,0,0","-6,1,8,15,22",29
5,"7,1,-2,4,2,-10","19081645,14345372,10599927,7681042,5443697,3760920,2522587,1634222",1015797
5,"1,-8,-4,3,-7,-6","-74437271,-89757611,-107502303,-127948289,-151392839,-178154271,-208572671",-243010613
2,"2,0,-3,0,0,0","-2185,-2350,-2521,-2698,-2881,-3070,-3265,-3466",-3673
5,"8,-6,7,-1,10,2","19233080,23426108,28319520,33997490,40550672",48076440
3,"0,1,-4,-8,0,0","1578,895,444,177,46,3",0
5,"8,-10,3,-1,-6,-6","-89299846,-106970016,-127332728,-150684592,-177343242",-207648056
2,"-2,4,-4,0,0,0","-2210,-2402,-2602,-2810,-3026,-3250,-3482,-3722,-3970,-4226",-4490
4,"6,2,8,1,2,0","28903,19786,13029,8182,4843,2658,1321,574,207,58",13
4,"-3,0,-6,-8,-4,0","-21,-155,-597,-1635,-3653,-7131,-12645",-20867
1,"-9,6,0,0,0,0","21,27,33,39,45,51,57",63
5,"-9,10,-8,0,-7,5","66897,134727,248751,429291,701901,1097967,1655307,2418771,3440841,4782231",6512487
4,"-3,4,-6,9,-10,0","-266802,-360587,-477168,-619971,-792662,-999147",-1243572
4,"-9,6,3,4,9,0","6221,12663,23161,39143,62253",94351
1,"0,-3,0,0,0,0","39,36,33,30,27,24",21
4,"-7,9,3,5,-6,0","-658213,-524984,-413079,-320092,-243761,-181968,-132739,-94244,-64797,-42856",-27023
5,"-5,-6,-6,-8,-2,5","70519648,84642035,100940846,119658415,141054428,165406523,193010890,224182871",259257560
3,"7,-2,-3,5,0,0","-683,-353,-149,-41,1,7,7,31",109
1,"-10,4,0,0,0,0","-46,-42,-38,-34,-30",-26
3,"2,7,4,-4,0,0","-25857,-30258,-35131,-40500,-46389,-52822,-59823",-67416
3,"10,0,1,-7,0,0","-6890,-9186,-11942,-15200,-19002",-23390
4,"-7,2,7,9,-10,0","-1003,-215,-21,-7,1,-63,-505",-1871
3,"9,4,-9,10,0,0","3026,4585,6606,9149,12274",16041
3,"4,4,5,-5,0,0","-7868,-10084,-12680,-15686,-19132,-23048,-27464",-32410
1,"-4,6,0,0,0,0","74,80,86,92,98,104,110,116,122",128
3,"3,-8,4,-8,0,0","-13341,-17001,-21277,-26217,-31869,-38281,-45501",-53577
4,"-4,10,-4,4,9,0","136715,193076,265287,356072,468371,605340,770351,966992",1199067
4,"8,7,-7,10,-1,0","233,-622,-2093,-4372,-7675,-12242,-18337,-26248,-36287,-48790",-64117
4,"0,7,-7,0,-9,0","-947178,-753831,-591728,-457305,-347214",-258323
1,"3,4,0,0,0,0","103,107,111,115,119,123,127",131
5,"-9,-10,0,7,10,-6","-498,-3185,-11684,-32253,-74510,-152153,-283680,-493109,-810698",-1273665
4,"-9,-7,-5,-5,-10,0","-5724,-2301,-708,-135,-12,-9,-36,-243,-1020,-2997",-7044
1,"5,6,0,0,0,0","-91,-85,-79,-73,-67,-61,-55",-49
4,"0,-10,5,-8,-4,0","-1496,-3425,-6792,-12173,-20240",-31761
4,"0,0,2,-6,10,0","154638,106200,70146,44160,26166,14328,7050,2976",990
3,"2,4,5,-2,0,0","-39870,-44455,-49378,-54651,-60286,-66295,-72690",-79483
1,"3,-2,0,0,0,0","-11,-13,-15,-17,-19,-21,-23",-25
5,"-4,-4,-1,0,2,-6","-937193,-1451716,-2170861,-3150368,-4455289,-6160708,-8352461,-11127856,-14596393",-18880484
3,"-8,5,-1,-7,0,0","-109883,-123586,-138383,-154316,-171427",-189758
5,"-5,6,0,8,-6,-8","-53072321,-65580917,-80343605,-97652105,-117822281,-141195101",-168137597
5,"-7,7,-9,-4,9,1","2808227,3618429,4604533,5793557,7215135,8901637,10888289,13213293,15917947,19046765",22647597
3,"1,-9,2,2,0,0","40582,45221,50200,55531,61226,67297,73756",80615
2,"-10,-8,10,0,0,0","2678,2360,2062,1784,1526,1288,1070,872",694
2,"6,1,-2,0,0,0","-270,-319,-372,-429,-490,-555,-624,-697",-774
4,"5,-4,-9,4,2,0","184030,230297,284758,348325,421958,506665",603502
4,"6,4,4,6,-6,0","-910314,-1109466,-1339618,-1603830,-1905306,-2247394,-2633586",-3067518
2,"7,-6,8,0,0,0","111,177,259,357,471",601
1,"-8,-8,0,0,0,0","-40,-48,-56,-64,-72,-80,-88,-96,-104,-112",-120
5,"-8,5,-8,-2,1,-9","6889867,4882674,3373167,2262460,1465731",911142
2,"2,-6,10,0,0,0","2342,2046,1770,1514,1278,1062",866
1,"5,-1,0,0,0,0","21,20,19,18,17,16,15,14,13",12
4,"-5,-3,-10,-3,10,0","8009905,9136129,10377115,11740405,13233781,14865265,16643119",18575845
2,"0,2,-10,0,0,0","-5712,-6200,-6708,-7236,-7784,-8352,-8940,-9548,-10176,-10824",-11492
5,"-9,4,5,-7,-7,-4","-286794,-476469,-755368,-1151817,-1699590",-2438389
2,"3,-2,1,0,0,0","171,198,227,258,291,326,363,402,443,486",531
4,"6,0,4,5,8,0","1603923,1929230,2301685,2725638,3205631,3746398,4352865,5030150,5783563,6618606",7540973
1,"8,2,0,0,0,0","64,66,68,70,72,74,76,78,80",82
5,"-9,2,-5,10,2,10","-990529,-585090,-324953,-166966,-77529,-31394,-10465,-2598,-401",-34
1,"4,-1,0,0,0,0","6,5,4,3,2,1,0,-1,-2",-3
4,"-6,-3,2,2,4,0","344431,432156,535661,656734,797259,959216,1144681,1355826",1594919
2,"-10,8,-3,0,0,0","-5,-6,-13,-26,-45",-70
3,"-1,8,-8,-9,0,0","-86710,-99529,-113552,-128833,-145426",-163385
3,"-9,4,1,4,0,0","109011,120240,132215,144960,158499,172856,188055,204120,221075,238944",257751
5,"-1,5,-4,7,7,-5","13243189,10140461,7648299,5671855,4126649",2937969
3,"8,10,5,-7,0,0","-18080,-22342,-27224,-32768,-39016,-46010,-53792",-62404
2,"-6,4,-9,0,0,0","-3179,-3526,-3891,-4274,-4675",-5094
3,"-2,6,7,-5,0,0","178,54,4,-2,6",-2
4,"3,-2,-7,-10,7,0","52671,33363,19911,10995,5463,2331,783",171
5,"-10,1,9,-8,5,8","15597692,20408783,26339610,33575105,42319520,52797387,65254478,79958765,97201380,117297575",140587682
2,"1,7,2,0,0,0","205,166,131,100,73,50,31,16,5,-2",-5
4,"8,2,9,3,5,0","779568,634247,510272,405441,317672,245003,185592,137717,99776,70287",47888
2,"-3,-7,-5,0,0,0","-1081,-1233,-1395,-1567,-1749,-1941",-2143
1,"-9,-9,0,0,0,0","18,9,0,-9,-18,-27,-36,-45,-54,-63",-72
5,"-7,1,3,2,4,1","490444,697571,969308,1319689,1764644",2322119
3,"4,-10,-2,9,0,0","3,4,1,48,199,508,1029",1816
2,"-10,-1,2,0,0,0","45,26,11,0,-7",-10
1,"5,-4,0,0,0,0","-107,-111,-115,-119,-123,-127,-131,-135,-139",-143
1,"6,-10,0,0,0,0","-284,-294,-304,-314,-324",-334
1,"5,-3,0,0,0,0","62,59,56,53,50,47",44
5,"-2,7,2,10,0,-5","1834740,1227082,792108,490128,288052,158790,80652,36748,14388",4482
4,"-9,6,6,8,2,0","28651,40713,56223,75781,100035,129681",165463
3,"-7,5,9,-2,0,0","-1057,-1525,-2107,-2815,-3661,-4657",-5815
2,"-6,5,-9,0,0,0","-130,-206,-300,-412,-542",-690
4,"-9,-6,7,-4,-10,0","-5554,-2177,-630,-97,-2,-9",-22
4,"10,1,-4,-10,10,0","45826,27247,14980,7405,3142",1051
4,"2,-1,-5,3,-1,0","-378,-832,-1622,-2886,-4786",-7508
4,"-6,1,-1,5,-9,0","-34366,-55482,-85096,-125230,-178122,-246226",-332212
5,"-8,0,5,-1,-5,1","-3119048,-2407004,-1831112,-1370888,-1008008,-726188,-511064,-350072,-232328",-148508
4,"-9,-5,-1,-9,10,0","1939,5066,10941,20830,36239,58914,90841,134246,191595,265594",359189
5,"-6,1,9,-8,1,6","123586655,146402124,172468773,202122266,235720611,273644880",316299929
4,"-2,2,-10,5,-5,0","-356,-1114,-2742,-5750,-10768",-18546
2,"8,1,5,0,0,0","50,26,12,8,14",30
3,"-3,-2,4,9,0,0","25449,31242,37853,45336,53745,63134,73557,85068,97721",111570
2,"-6,-4,4,0,0,0","3242,3474,3714,3962,4218",4482
5,"0,7,-8,-9,-3,-10","-120348098,-145266183,-174151292,-207459359,-245679990,-289337663,-338992928,-395243607",-458725994
4,"1,1,-5,4,6,0","925981,752667,604891,480013,375537,289111",218527
4,"-2,-7,3,-3,1,0","15898,22384,30672,41068,53902",69528
1,"9,7,0,0,0,0","9,16,23,30,37,44,51,58,65,72",79
5,"-4,9,9,5,-10,2","27780,56939,105986,183531,300344,469595,707094,1031531,1464716,2031819",2761610
4,"9,-7,8,-4,-4,0","-2920146,-3341001,-3805768,-4317399,-4878942,-5493541,-6164436,-6894963",-7688554
4,"-2,3,-5,10,6,0","1798138,2126086,2496948,2914312,3381910,3903618,4483456,5125588,5834322",6614110
3,"-5,10,1,-1,0,0","-14755,-16645,-18689,-20893,-23263,-25805,-28525,-31429,-34523,-37813",-41305
5,"-9,-7,10,2,8,-8","-51099,-114130,-227777,-417708,-717079",-1167494
2,"-9,-6,6,0,0,0","1083,1251,1431,1623,1827,2043,2271,2511,2763,3027",3303
4,"2,-4,-9,9,-9,0","-3380723,-3960786,-4612489,-5341502,-6153711,-7055218",-8052341
3,"-4,3,8,1,0,0","200,336,518,752,1044,1400,1826,2328,2912,3584",4350
5,"-10,3,1,-6,5,-1","3169152,2449700,1867168,1401030,1032920,746512,527400",362978
5,"-4,-5,-7,-3,0,2","734743,1065970,1506971,2082988,2822863,3759278",4928995
3,"-9,7,7,8,0,0","13,97,291,643,1201,2013,3127,4591,6453",8761
3,"2,-8,-2,6,0,0","-8138,-6118,-4462,-3134,-2098,-1318,-758,-382,-154",-38
2,"-8,-4,6,0,0,0","1402,1224,1058,904,762,632,514,408",314
1,"-7,-6,0,0,0,0","23,17,11,5,-1",-7
3,"-3,-3,-4,-6,0,0","-210,-463,-868,-1461,-2278,-3355,-4728,-6433",-8506
5,"0,0,-7,-1,-1,7","55388736,67948750,82690348,99886122,119830480,142840486,169256700,199444018,233792512,272718270",316664236
1,"-8,7,0,0,0,0","-57,-50,-43,-36,-29,-22",-15
4,"-7,2,-10,3,3,0","55553,38691,25973,16661,10089,5663,2861",1233
2,"10,-5,-3,0,0,0","-740,-838,-942,-1052,-1168,-1290,-1418,-1552",-1692
4,"-1,7,-4,-8,4,0","131052,96107,68650,47529,31688,20167",12102
3,"9,-6,6,9,0,0","-4167,-2742,-1683,-936,-447,-162,-27,12",9
4,"1,1,1,8,-5,0","-571229,-456636,-360207,-279914,-213849",-160224
5,"10,-6,-1,-1,-10,-7","16036105,12182842,9108525,6688618,4812625,3383250",2315557
2,"1,2,-6,0,0,0","-839,-987,-1147,-1319,-1503,-1699,-1907,-2127,-2359,-2603",-2859
4,"7,1,-7,5,-10,0","-4,-139,-728,-2341,-5788",-12119
1,"10,-5,0,0,0,0","-105,-110,-115,-120,-125,-130",-135
3,"5,8,6,3,0,0","-21755,-18558,-15691,-13136,-10875,-8890,-7163",-5676
4,"1,-10,-3,3,-6,0","-92091,-63199,-41705,-26223,-15511,-8471,-4149,-1735",-563
4,"10,-3,-6,-5,-7,0","-26462,-15355,-8180,-3875,-1546,-467,-80,5",10
2,"7,-10,3,0,0,0","84,119,160,207,260",319
3,"-10,6,6,-4,0,0","-6,-10,-2,-6,-46,-146,-330,-622,-1046,-1626",-2386
2,"2,9,4,0,0,0","30,11,0,-3,2",15
2,"4,-4,9,0,0,0","32,73,132,209,304",417
5,"7,7,0,-2,-7,6","1344475,2023535,2952649,4195237,5824631,7924795,10591045",13930769
5,"-5,1,-9,-10,-9,-7","12337573,9233817,6788843,4891705,3444681,2362433,1571167,1007793,619085,360841",197043
5,"4,9,-7,1,-1,-2","4,4,-78,-572,-2312,-6876,-16826,-35948,-69492,-124412",-209606
4,"8,-9,4,1,-3,0","-60004,-82919,-111838,-147727,-191624,-244639,-307954,-382823,-470572,-572599",-690374
1,"4,9,0,0,0,0","85,94,103,112,121,130,139,148",157
3,"-8,9,-7,7,0,0","145,364,737,1306,2113,3200",4609
1,"-4,10,0,0,0,0","-134,-124,-114,-104,-94,-84,-74,-64,-54",-44
2,"-7,10,5,0,0,0","4488,4793,5108,5433,5768,6113,6468,6833,7208",7593
5,"-6,5,7,-5,10,-8","16197636,12220563,9066154,6599619,4701768,3268051,2207598",1442259
5,"5,-3,-10,4,4,4","-592136,-364965,-213646,-117347,-59460,-27121,-10730,-3471,-832",-125
2,"3,-2,8,0,0,0","3243,2929,2631,2349,2083,1833,1599,1381,1179",993
5,"-10,-4,1,8,8,-2","-10,1,114,365,502",-255
2,"6,-10,6,0,0,0","1206,1382,1570,1770,1982",2206
5,"-4,5,4,7,5,-1","-3045004,-3905774,-4949742,-6204556,-7700504,-9470634,-11550874,-13980152,-16800516,-20057254",-23799014
4,"-1,-8,10,5,2,0","153983,194360,242207,298394,363839,439508,526415",625622
4,"6,-1,-7,8,6,0","44628,67296,97642,137226,187752,251068",329166
2,"-6,10,-5,0,0,0","-501,-606,-721,-846,-981",-1126
2,"-8,-8,2,0,0,0","184,146,112,82,56,34,16,2",-8
1,"6,-8,0,0,0,0","30,22,14,6,-2,-10,-18",-26
2,"6,-2,4,0,0,0","18,36,62,96,138,188,246,312,386,468",558
5,"-4,4,10,-8,-1,2","15488732,19021971,23172028,28016303,33638412",40128427
4,"-4,-7,-4,-8,6,0","329951,251758,188353,137744,98083,67666,44933",28468
3,"3,-8,5,6,0,0","-7290,-5417,-3894,-2685,-1754,-1065",-582
5,"8,7,1,-9,-5,10","-5545518,-3835876,-2576380,-1671684,-1040962,-616708,-343536,-176980",-82294
4,"-2,1,2,-6,-2,0","-873727,-1018032,-1179497,-1359430,-1559187,-1780172,-2023837,-2291682,-2585255,-2906152",-3256017
5,"0,3,10,4,1,8","78584450,95585126,115408800,138393332,164902526,195327090",230085596
5,"-7,4,-8,5,2,1","-1279767,-940103,-676867,-476343,-326567,-217207",-139443
1,"1,2,0,0,0,0","61,63,65,67,69,71",73
4,"-6,-5,7,-3,6,0","179199,130662,92735,63744,42159,26594,15807,8700,4319,1854",639
3,"10,-7,9,4,0,0","76216,85114,94678,104932,115900,127606,140074,153328,167392,182290",198046
5,"-1,7,-8,-5,1,8","-785871,-462898,-256057,-130782,-60163,-23986",-7773
4,"6,8,-10,-2,7,0","43737,67086,98709,140358,193953,261582,345501,448134,572073",720078
2,"-9,6,-2,0,0,0","-929,-845,-765,-689,-617,-549,-485,-425,-369,-317",-269
5,"-7,7,6,-5,-10,-1","-1722775,-2277786,-2966425,-3811312,-4837467,-6072430,-7546381",-9292260
2,"10,-2,-6,0,0,0","-570,-458,-358,-270,-194,-130,-78,-38,-10,6",10
1,"1,-3,0,0,0,0","49,46,43,40,37,34,31,28,25",22
4,"-3,3,5,-2,4,0","160087,119441,87081,61795,42467,28077",17701
4,"2,-3,8,-5,8,0","295136,389882,505810,645866,813188,1011106,1243142",1513010
4,"1,-10,-2,-10,6,0","570709,712425,879001,1073185,1297869,1556089,1851025,2186001,2564485,2990089",3466569
2,"-7,2,-8,0,0,0","-1385,-1183,-997,-827,-673,-535,-413,-307,-217",-143
5,"4,5,6,-1,2,7","-7203404,-5209721,-3684082,-2538779,-1697816,-1096069",-678446
4,"9,8,-3,-10,1,0","3129,6197,10509,16329,23945,33669,45837",60809
5,"5,-4,10,-9,10,8","-10476466,-7693755,-5536060,-3891715,-2663214",-1766251
3,"4,1,-6,6,0,0","-70,-9,4,5,30,115,296,609",1090
2,"3,-10,2,0,0,0","3,15,31,51,75,103,135,171,211",255
5,"-2,8,5,7,-3,-5","-1202,-5330,-16462,-41030,-88538,-172162,-309350",-522422
2,"10,5,4,0,0,0","1251,1396,1549,1710,1879",2056
5,"-6,-2,-6,-2,8,5","345765,577374,918967,1405698,2079513,2989750,4193739,5757402",7755853
3,"-2,-8,0,4,0,0","82,222,458,814,1314,1982,2842,3918",5234
5,"9,-3,-2,-10,-9,3","-1188,-153,8,9,-12,-133,-288,93,2444,9423",25272
5,"2,5,-4,5,7,-6","6728626,4892777,3481284,2415961,1628870,1061601,664552",396209
3,"0,-8,6,4,0,0","-30,8,10,0,2,40",138
1,"3,4,0,0,0,0","35,39,43,47,51,55,59,63,67",71
2,"-2,-1,8,0,0,0","502,637,788,955,1138,1337,1552",1783
2,"0,6,-5,0,0,0","-56,-95,-144,-203,-272",-351
5,"2,-3,10,9,2,-6","-923866,-1434562,-2149210,-3123496,-4422418,-6121006,-8305042",-11071780
4,"1,-3,3,-4,-4,0","-2924243,-3345389,-3810457,-4322399,-4884263,-5499193,-6170429",-6901307
3,"-1,9,-2,-10,0,0","-3466,-5177,-7372,-10111,-13454,-17461,-22192,-27707",-34066
4,"-10,-7,1,-8,-2,0","-11840,-7156,-3986,-1970,-796,-200,34",74
5,"-5,-4,9,5,-6,1","0,-1,-44,-69,200,1375,4524,11291,24016,45855",80900
3,"-10,-9,3,-4,0,0","-68520,-76798,-85718,-95304,-105580",-116570
2,"9,2,9,0,0,0","8169,8720,9289,9876,10481,11104",11745
4,"7,5,-9,-3,-8,0","-1910231,-2279868,-2700737,-3177368,-3714483,-4316996",-4990013
3,"-8,-2,-4,4,0,0","67540,75754,84608,94126,104332,115250,126904,139318",152516
2,"-6,1,-2,0,0,0","-601,-534,-471,-412,-357,-306,-259,-216,-177",-142
3,"8,-3,-5,-6,0,0","15534,12384,9692,7422,5538,4004,2784,1842",1142
3,"10,2,2,-1,0,0","22,11,10,13,14,7,-14,-55,-122",-221
1,"-6,8,0,0,0,0","226,234,242,250,258",266
2,"-8,3,2,0,0,0","694,771,852,937,1026",1119
5,"6,-10,6,-7,6,-3","10618606,8260598,6341514,4796998,3569318,2607006",1864498
5,"1,-10,-6,-6,4,5","-1151591,-739320,-454499,-265022,-144687,-72596,-32555,-12474,-3767,-752",-51
4,"-5,1,-6,-3,7,0","-5,-6,61,430,1503,3850",8209
4,"8,-7,3,2,-10,0","-289398,-210292,-148624,-101622,-66754,-41728,-24492",-13234
2,"0,4,5,0,0,0","897,1036,1185,1344,1513",1692
5,"-1,2,-1,0,-3,-9","-29280361,-37340752,-47085897,-58767094,-72659473,-89063076,-108303937,-130735162,-156738009,-186722968",-221130841
4,"-7,-2,-8,-3,8,0","819677,1019058,1252753,1524488,1838181",2197942
1,"-10,-6,0,0,0,0","80,74,68,62,56,50,44,38,32",26
3,"-5,2,0,10,0,0","156295,175807,196879,219571,243943,270055,297967,327739,359431",393103
5,"4,3,-4,0,-7,-2","-1076,-3888,-10706,-24746,-50592",-94436
3,"-9,10,-7,-3,0,0","-16601,-19593,-22923,-26609,-30669,-35121,-39983,-45273",-51009
4,"-5,-7,1,-3,-9,0","-2073,-623,-107,-3,-5,-23,-183,-827,-2513",-6015
1,"-8,-8,0,0,0,0","96,88,80,72,64,56,48,40,32,24",16
5,"-10,-9,1,-8,-8,1","208604,327455,491622,712511,1003256,1378839,1856210,2454407",3194676
2,"4,9,10,0,0,0","572,431,310,209,128,67,26,5,4",23
5,"4,-10,0,6,-4,-1","-27378296,-32144795,-37552444,-43663781,-50545280,-58267471,-66905060",-76537049
3,"-2,-4,0,-3,0,0","-2225,-3042,-4039,-5234,-6645,-8290",-10187
4,"7,7,4,-9,1,0","233467,193370,158641,128782,103319,81802,63805",48926
5,"5,7,-8,9,1,-7","7,-149,-1423,-6431,-20285,-51433,-112499,-221123,-400801,-681725",-1101623
2,"-7,4,-6,0,0,0","-3657,-3959,-4273,-4599,-4937,-5287,-5649",-6023
4,"5,4,-4,9,4,0","366053,288648,224197,171170,128133",93748
3,"-2,3,8,-2,0,0","-10775,-12742,-14933,-17360,-20035",-22970
4,"3,-8,-8,10,8,0","714853,895395,1108121,1356643,1644765,1976483,2355985",2787651
5,"-3,8,8,-10,-8,-9","12161848,8955773,6464802,4561981,3136364,2091933,1346518,830717,486816,267709",135818
2,"-10,-6,9,0,0,0","2798,3125,3470,3833,4214,4613,5030,5465,5918",6389
1,"-7,-3,0,0,0,0","44,41,38,35,32,29,26,23,20",17
3,"-1,8,3,-2,0,0","56,11,-4,-1,8,11",-4
4,"-6,2,-10,-8,-4,0","-630,-1694,-3746,-7266,-12830,-21110,-32874",-48986
5,"-1,9,9,4,-6,4","-15,-1,19,117,701,2995,9519,24569,54697,109191",200555
5,"8,10,-1,10,2,-3","-41787460,-50182768,-59875538,-71010592,-83743144,-98239160,-114675718",-133241368
4,"8,-9,2,1,6,0","4269504,4888538,5572568,6325992,7153352,8059334,9048768,10126628,11298032,12568242",13942664
2,"8,-8,2,0,0,0","578,512,450,392,338,288,242,200",162
1,"-10,4,0,0,0,0","54,58,62,66,70,74,78,82,86,90",94
2,"8,8,6,0,0,0","1478,1672,1878,2096,2326,2568,2822,3088",3366
4,"5,3,5,-5,-4,0","-485236,-389173,-308120,-240427,-184540,-139001",-102448
1,"-8,5,0,0,0,0","127,132,137,142,147,152",157
3,"0,-3,-10,-7,0,0","300,108,22,0,0,-20,-102,-288,-620,-1140",-1890
5,"8,-8,-2,9,-7,-2","522660,336776,207490,120888,65528,32200,13686,4520,748,-312",-310
5,"-8,-3,-7,9,-7,-5","4745512,3410587,2394174,1635613,1082476,689967,420322,242209,130128",63811
3,"3,0,-4,8,0,0","-1869,-1097,-573,-249,-77,-9,3,7,51,183",451
5,"0,6,-3,-10,-9,6","0,-10,-32,450,3176,11830,32760,75698,154480,287766",499760
4,"-3,-10,-7,-5,-7,0","-32,-203,-798,-2267,-5228,-10467",-18938
3,"-9,-3,-9,7,0,0","-1827,-1094,-589,-270,-95,-22,-9,-14,5",90
5,"10,-1,-6,3,-3,8","-4427224,-3063609,-2058890,-1337029,-833580,-494729,-276334,-142965,-66944,-27385",-9234
1,"5,-7,0,0,0,0","-128,-135,-142,-149,-156",-163
4,"-4,8,-1,2,6,0","8216,15095,25596,40811,61976,90471,127820,175691",235896
4,"2,-3,-6,0,1,0","19910,13950,9432,6104,3738,2130,1100",492
3,"2,-9,-6,-1,0,0","-1688,-2154,-2698,-3326,-4044,-4858,-5774,-6798,-7936",-9194
5,"-9,-1,10,8,0,-3","-3,-435,-2413,-8139,-21255,-47203,-93585",-170523
2,"0,-10,5,0,0,0","2415,2640,2875,3120,3375,3640",3915
5,"1,1,-10,-6,-8,5","11293183,14668021,18804703,23825407,29864719",37070233
3,"8,-7,-1,1,0,0","-512,-335,-202,-107,-44,-7,10",13
2,"-5,5,2,0,0,0","1073,1168,1267,1370,1477",1588
4,"-9,-6,9,-2,-6,0","-234313,-308574,-399209,-508462,-638721,-792518,-972529,-1181574,-1422617,-1698766",-2013273
4,"-6,-3,3,8,-1,0","-714,-267,-68,-9,-6",1
1,"-5,-7,0,0,0,0","-54,-61,-68,-75,-82,-89,-96,-103,-110,-117",-124
2,"-5,6,4,0,0,0","3775,4025,4283,4549,4823",5105
4,"-2,3,9,1,-6,0","-443,-76,-3,-2,5",-48
1,"-10,-7,0,0,0,0","-52,-59,-66,-73,-80,-87,-94,-101,-108,-115",-122
2,"6,-8,3,0,0,0","1161,1282,1409,1542,1681,1826",1977
1,"2,6,0,0,0,0","104,110,116,122,128,134,140,146",152
3,"-2,0,2,-7,0,0","923,478,205,62,7,-2,-7",-50
5,"-10,7,3,8,1,-2","753977,504914,326371,202220,118997,65662,33359",15176
5,"-2,2,1,-6,8,-9","-483230,-825882,-1340176,-2083802,-3126138,-4549330,-6449372,-8937186,-12139702,-16200938",-21283080
5,"-10,-1,-6,4,-5,8","50137000,62093918,76230590,92832340,112208372,134692730",160645258
3,"-4,-2,-5,-7,0,0","-5530,-7524,-9948,-12844,-16254,-20220,-24784,-29988",-35874
2,"-6,1,7,0,0,0","2814,3102,3404,3720,4050,4394,4752,5124,5510",5910
4,"-8,-5,-6,2,1,0","-20,-22,-10,-8,-16,-10,58,260,692",1474
4,"2,4,7,8,2,0","910727,1059398,1225559,1410530,1615679,1842422,2092223,2366594,2667095,2995334",3352967
3,"-4,-1,-4,2,0,0","1586,2163,2864,3701,4686,5831,7148,8649,10346,12251",14376
5,"-3,7,-8,10,5,-10","-62846629,-77833563,-95551703,-116358349,-140640681,-168816959",-201337723
4,"-2,1,-8,-5,5,0","84,-1,-2,-9,8,199,834,2303,5116",9903
2,"9,-4,1,0,0,0","69,86,105,126,149,174,201,230,261",294
2,"-7,-4,7,0,0,0","653,796,953,1124,1309,1508",1721
2,"7,3,-1,0,0,0","-297,-263,-231,-201,-173,-147,-123,-101,-81",-63
5,"10,-6,6,6,4,-10","14505022,10724970,7777450,5516710,3815094,2561842,1661890",1034670
5,"-10,-8,6,5,0,4","651487,1004726,1497057,2166070,3055595,4216182,5705581,7589222",9940695
2,"9,-1,7,0,0,0","465,359,267,189,125,75",39
5,"9,-5,6,-7,-5,-10","-25458528,-32853691,-41875692,-52779333,-65844736,-81378543,-99715116,-121217737,-146279808",-175326051
2,"-5,3,8,0,0,0","-5,6,33,76,135,210,301,408,531,670",825
2,"4,-2,3,0,0,0","804,709,620,537,460,389,324,265,212,165",124
4,"5,-4,-5,-1,2,0","73057,96695,125637,160621,202433,251907",309925
4,"0,5,5,1,-6,0","-949900,-1155315,-1392358,-1664119,-1973832,-2324875",-2720770
2,"9,-10,7,0,0,0","5217,5606,6009,6426,6857,7302,7761,8234,8721,9222",9737
2,"7,-8,4,0,0,0","199,147,103,67,39,19,7,3",7
3,"-9,-6,-8,-1,0,0","251,126,39,-16,-45,-54,-49,-36,-21",-10
5,"-9,-7,8,1,4,-8","-135196301,-161229163,-191126019,-225301871,-264200425,-308295051",-358089743
3,"2,-1,5,-10,0,0","-39694,-47700,-56716,-66802,-78018,-90424,-104080,-119046,-135382",-153148
3,"-5,2,-8,9,0,0","79858,91999,105312,119851,135670,152823,171364,191347",212826
3,"1,-3,7,-8,0,0","-411,-839,-1493,-2421,-3671,-5291,-7329",-9833
5,"5,1,-10,-8,4,-8","347,14,5,-16,-289,-1918,-7831,-23740,-59101",-128074
3,"6,-8,0,-6,0,0","3142,2120,1350,796,422,192",70
2,"6,6,2,0,0,0","62,42,26,14,6,2,2,6,14",26
5,"-8,-9,-3,5,-4,3","19054,42314,84208,154216,264602,430774,671644,1009988",1472806
2,"-1,-7,3,0,0,0","655,747,845,949,1059",1175
5,"-10,-7,8,5,10,-1","9251,11198,10781,5720,-7105",-31774
5,"10,-5,-7,7,-2,-6","-147237440,-173420283,-203201686,-236940419,-275018340,-317841115,-365838938",-419467251
3,"-3,5,-5,10,0,0","6927,9547,12757,16617,21187,26527",32697
3,"-6,-7,4,3,0,0","-19006,-16080,-13470,-11158,-9126,-7356,-5830,-4530,-3438,-2536",-1806
4,"8,-1,-6,10,-2,0","8,9,30,59,36,-147,-646,-1665",-3456
1,"1,8,0,0,0,0","-143,-135,-127,-119,-111,-103",-95
5,"-1,-4,-1,-5,-2,-5","-16360481,-20856298,-26290485,-32802854,-40546465,-49688226,-60409493,-72906670,-87391809",-104093210
3,"-10,-2,-2,-3,0,0","2810,2033,1414,935,578,325,158",59
2,"8,6,-7,0,0,0","-280,-197,-128,-73,-32,-5",8
3,"-8,10,-4,-1,0,0","-10823,-12372,-14061,-15896,-17883,-20028,-22337,-24816",-27471
4,"-9,1,-8,8,-1,0","-601179,-692859,-794601,-907113,-1031127,-1167399,-1316709,-1479861,-1657683",-1851027
4,"3,-1,4,9,-10,0","-2686811,-3191061,-3763147,-4408895,-5134371,-5945881,-6849971,-7853427,-8963275",-10186781
3,"4,9,-2,-2,0,0","6169,4974,3943,3064,2325,1714",1219
3,"7,-5,-6,-4,0,0","-45599,-51950,-58865,-66368,-74483,-83234,-92645",-102740
